x,y
90,90
85,90
80,87
75,89
70,89
65,87
61,90
56,92
51,91
46,88
42,84
38,80
33,77
38,70
34,68
32,64
33,60
36,56
34,52
30,50
27,47
28,43
28,39
27,35
29,31
31,27
29,23
28,19
24,19
21,16
18,13
14,12
10,10
